criterion "Is_bastille"	"who" "Medic2" required
    response bastille_CHATTER_SELECTION
}

Response wildcat_CHATTER_SELECTION
{
	speak "wildcat.Selection0"
	speak "wildcat.Selection1"
	speak "wildcat.Selection2"
	speak "wildcat.Selection3"
}

Rule wildcat_CHATTER_SELECTION
{
    criteria ConceptCHATTER_SELECTION Is_wildcat
    response wildcat_CHATTER_SELECTION
}

Response sarge_CHATTER_SARGE_JAEGER_CONV_1_REPLY
{
	speak "sarge.SargeJaegerConv1Reply0"
	speak "sarge.SargeJaegerConv1Reply1"
}

Rule sarge_CHATTER_SARGE_JAEGER_CONV_1_REPLY
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_1_REPLY Is_sarge
    response sarge_CHATTER_SARGE_JAEGER_CONV_1_REPLY
}

Response jaeger_CHATTER_SARGE_JAEGER_CONV_1_REPLY
{
	speak "jaeger.SargeJaegerConv1Reply0"
	speak "jaeger.SargeJaegerConv1Reply1"
}

Rule jaeger_CHATTER_SARGE_JAEGER_CONV_1_REPLY
{
    criteria ConceptCHATTER_SARGE_JAEGER_CONV_1_REPLY Is_jaeger
    response jaeger_CHATTER_SARGE_JAEGER_CONV_1_REPLY
}

Response vegas_CHATTER_TEQUILA_REPLY_JAEGER
{
	speak "vegas.TequilaReplyJaeger0"
}

Rule vegas_CHATTER_TEQUILA_REPLY_JAEGER
{
    criteria ConceptCHATTER_TEQUILA_REPLY_JAEGER Is_vegas
    response vegas_CHATTER_TEQUILA_REPLY_JAEGER
}

Response faith_CHATTER_LOCKED_TERMINAL_FLYNN
{
	speak "faith.LockedTerminalFlynn0"
}

Rule faith_CHATTER_LOCKED_TERMINAL_FLYNN
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_FLYNN Is_faith
    response faith_CHATTER_LOCKED_TERMINAL_FLYNN
}

Response jaeger_CHATTER_LOCKED_TERMINAL_FLYNN
{
	speak "jaeger.LockedTerminalFlynn0"
}

Rule jaeger_CHATTER_LOCKED_TERMINAL_FLYNN
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_FLYNN Is_jaeger
    response jaeger_CHATTER_LOCKED_TERMINAL_FLYNN
}

Response bastille_CHATTER_LOCKED_TERMINAL_FLYNN
{
	speak "bastille.LockedTerminalFlynn0"
}

Rule bastille_CHATTER_LOCKED_TERMINAL_FLYNN
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_FLYNN Is_bastille
    response bastille_CHATTER_LOCKED_TERMINAL_FLYNN
}

Response sarge_CHATTER_LOCKED_TERMINAL_FLYNN
{
	speak "sarge.LockedTerminalFlynn0"
}

Rule sarge_CHATTER_LOCKED_TERMINAL_FLYNN
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_FLYNN Is_sarge
    response sarge_CHATTER_LOCKED_TERMINAL_FLYNN
}

Response wildcat_CHATTER_LOCKED_TERMINAL_FLYNN
{
	speak "wildcat.LockedTerminalFlynn0"
}

Rule wildcat_CHATTER_LOCKED_TERMINAL_FLYNN
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_FLYNN Is_wildcat
    response wildcat_CHATTER_LOCKED_TERMINAL_FLYNN
}

Response wolfe_CHATTER_WOLFE_BEST
{
	speak "wolfe.WolfeBest0"
	speak "wolfe.WolfeBest1"
	speak "wolfe.WolfeBest2"
}

Rule wolfe_CHATTER_WOLFE_BEST
{
    criteria ConceptCHATTER_WOLFE_BEST Is_wolfe
    response wolfe_CHATTER_WOLFE_BEST
}

Response faith_CHATTER_HOLDING_SOUTH
{
	speak "faith.HoldingSouth0"
	speak "faith.HoldingSouth1"
	speak "faith.HoldingSouth2"
	speak "faith.HoldingSouth3"
}

Rule faith_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_faith
    response faith_CHATTER_HOLDING_SOUTH
}

Response crash_CHATTER_HOLDING_SOUTH
{
	speak "crash.HoldingSouth0"
	speak "crash.HoldingSouth1"
	speak "crash.HoldingSouth2"
}

Rule crash_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_crash
    response crash_CHATTER_HOLDING_SOUTH
}

Response jaeger_CHATTER_HOLDING_SOUTH
{
	speak "jaeger.HoldingSouth0"
	speak "jaeger.HoldingSouth1"
	speak "jaeger.HoldingSouth2"
}

Rule jaeger_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_jaeger
    response jaeger_CHATTER_HOLDING_SOUTH
}

Response wolfe_CHATTER_HOLDING_SOUTH
{
	speak "wolfe.HoldingSouth0"
	speak "wolfe.HoldingSouth1"
	speak "wolfe.HoldingSouth2"
	speak "wolfe.HoldingSouth3"
	speak "wolfe.HoldingSouth4"
	speak "wolfe.HoldingSouth5"
}

Rule wolfe_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_wolfe
    response wolfe_CHATTER_HOLDING_SOUTH
}

Response vegas_CHATTER_HOLDING_SOUTH
{
	speak "vegas.HoldingSouth0"
	speak "vegas.HoldingSouth1"
	speak "vegas.HoldingSouth2"
}

Rule vegas_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_vegas
    response vegas_CHATTER_HOLDING_SOUTH
}

Response sarge_CHATTER_HOLDING_SOUTH
{
	speak "sarge.HoldingSouth0"
	speak "sarge.HoldingSouth1"
	speak "sarge.HoldingSouth2"
	speak "sarge.HoldingSouth3"
}

Rule sarge_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_sarge
    response sarge_CHATTER_HOLDING_SOUTH
}

Response bastille_CHATTER_HOLDING_SOUTH
{
	speak "bastille.HoldingSouth0"
	speak "bastille.HoldingSouth1"
	speak "bastille.HoldingSouth2"
	speak "bastille.HoldingSouth3"
}

Rule bastille_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_bastille
    response bastille_CHATTER_HOLDING_SOUTH
}

Response wildcat_CHATTER_HOLDING_SOUTH
{
	speak "wildcat.HoldingSouth0"
	speak "wildcat.HoldingSouth1"
	speak "wildcat.HoldingSouth2"
	speak "wildcat.HoldingSouth3"
}

Rule wildcat_CHATTER_HOLDING_SOUTH
{
    criteria ConceptCHATTER_HOLDING_SOUTH Is_wildcat
    response wildcat_CHATTER_HOLDING_SOUTH
}

Response faith_CHATTER_HEALING
{
	speak "faith.Healing0"
	speak "faith.Healing1"
	speak "faith.Healing2"
	speak "faith.Healing3"
	speak "faith.Healing4"
}

Rule faith_CHATTER_HEALING
{
    criteria ConceptCHATTER_HEALING Is_faith
    response faith_CHATTER_HEALING
}

Response bastille_CHATTER_HEALING
{
	speak "bastille.Healing0"
	speak "bastille.Healing1"
	speak "bastille.Healing2"
	speak "bastille.Healing3"
	speak "bastille.Healing4"
	speak "bastille.Healing5"
	speak "bastille.Healing6"
	speak "bastille.Healing7"
	speak "bastille.Healing8"
	speak "bastille.Healing9"
	speak "bastille.Healing10"
	speak "bastille.Healing11"
	speak "bastille.Healing12"
	speak "bastille.Healing13"
	speak "bastille.Healing14"
	speak "bastille.Healing15"
	speak "bastille.Healing16"
	speak "bastille.Healing17"
	speak "bastille.Healing18"
}

Rule bastille_CHATTER_HEALING
{
    criteria ConceptCHATTER_HEALING Is_bastille
    response bastille_CHATTER_HEALING
}

Response crash_CHATTER_FAITH
{
	speak "crash.CallFaith0"
	speak "crash.CallFaith1"
}

Rule crash_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_crash
    response crash_CHATTER_FAITH
}

Response jaeger_CHATTER_FAITH
{
	speak "jaeger.CallFaith0"
	speak "jaeger.CallFaith1"
}

Rule jaeger_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_jaeger
    response jaeger_CHATTER_FAITH
}

Response wolfe_CHATTER_FAITH
{
	speak "wolfe.CallFaith0"
	speak "wolfe.CallFaith1"
	speak "wolfe.CallFaith2"
	speak "wolfe.CallFaith3"
}

Rule wolfe_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_wolfe
    response wolfe_CHATTER_FAITH
}

Response vegas_CHATTER_FAITH
{
	speak "vegas.CallFaith0"
	speak "vegas.CallFaith1"
}

Rule vegas_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_vegas
    response vegas_CHATTER_FAITH
}

Response sarge_CHATTER_FAITH
{
	speak "sarge.CallFaith0"
	speak "sarge.CallFaith1"
}

Rule sarge_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_sarge
    response sarge_CHATTER_FAITH
}

Response bastille_CHATTER_FAITH
{
	speak "bastille.CallFaith0"
	speak "bastille.CallFaith1"
}

Rule bastille_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_bastille
    response bastille_CHATTER_FAITH
}

Response wildcat_CHATTER_FAITH
{
	speak "wildcat.CallFaith0"
	speak "wildcat.CallFaith1"
}

Rule wildcat_CHATTER_FAITH
{
    criteria ConceptCHATTER_FAITH Is_wildcat
    response wildcat_CHATTER_FAITH
}

Response faith_CHATTER_RELOADING
{
	speak "faith.Reloading0"
	speak "faith.Reloading1"
	speak "faith.Reloading2"
	speak "faith.Reloading3"
}

Rule faith_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_faith
    response faith_CHATTER_RELOADING
}

Response crash_CHATTER_RELOADING
{
	speak "crash.Reloading0"
	speak "crash.Reloading1"
	speak "crash.Reloading2"
	speak "crash.Reloading3"
}

Rule crash_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_crash
    response crash_CHATTER_RELOADING
}

Response jaeger_CHATTER_RELOADING
{
	speak "jaeger.Reloading0"
	speak "jaeger.Reloading1"
	speak "jaeger.Reloading2"
	speak "jaeger.Reloading3"
}

Rule jaeger_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_jaeger
    response jaeger_CHATTER_RELOADING
}

Response wolfe_CHATTER_RELOADING
{
	speak "wolfe.Reloading0"
	speak "wolfe.Reloading1"
	speak "wolfe.Reloading2"
}

Rule wolfe_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_wolfe
    response wolfe_CHATTER_RELOADING
}

Response vegas_CHATTER_RELOADING
{
	speak "vegas.Reloading0"
	speak "vegas.Reloading1"
	speak "vegas.Reloading2"
	speak "vegas.Reloading3"
	speak "vegas.Reloading4"
}

Rule vegas_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_vegas
    response vegas_CHATTER_RELOADING
}

Response sarge_CHATTER_RELOADING
{
	speak "sarge.Reloading0"
	speak "sarge.Reloading1"
	speak "sarge.Reloading2"
	speak "sarge.Reloading3"
}

Rule sarge_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_sarge
    response sarge_CHATTER_RELOADING
}

Response bastille_CHATTER_RELOADING
{
	speak "bastille.Reloading0"
	speak "bastille.Reloading1"
	speak "bastille.Reloading2"
	speak "bastille.Reloading3"
	speak "bastille.Reloading4"
	speak "bastille.Reloading5"
	speak "bastille.Reloading6"
	speak "bastille.Reloading7"
	speak "bastille.Reloading8"
	speak "bastille.Reloading9"
}

Rule bastille_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_bastille
    response bastille_CHATTER_RELOADING
}

Response wildcat_CHATTER_RELOADING
{
	speak "wildcat.Reloading0"
	speak "wildcat.Reloading1"
	speak "wildcat.Reloading2"
	speak "wildcat.Reloading3"
}

Rule wildcat_CHATTER_RELOADING
{
    criteria ConceptCHATTER_RELOADING Is_wildcat
    response wildcat_CHATTER_RELOADING
}

Response faith_CHATTER_PAIN_SMALL
{
	speak "faith.SmallPain0"
	speak "faith.SmallPain1"
	speak "faith.SmallPain2"
	speak "faith.SmallPain3"
}

Rule faith_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_faith
    response faith_CHATTER_PAIN_SMALL
}

Response crash_CHATTER_PAIN_SMALL
{
	speak "crash.SmallPain0"
	speak "crash.SmallPain1"
	speak "crash.SmallPain2"
	speak "crash.SmallPain3"
}

Rule crash_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_crash
    response crash_CHATTER_PAIN_SMALL
}

Response jaeger_CHATTER_PAIN_SMALL
{
	speak "jaeger.SmallPain0"
	speak "jaeger.SmallPain1"
	speak "jaeger.SmallPain2"
}

Rule jaeger_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_jaeger
    response jaeger_CHATTER_PAIN_SMALL
}

Response wolfe_CHATTER_PAIN_SMALL
{
	speak "wolfe.SmallPain0"
	speak "wolfe.SmallPain1"
	speak "wolfe.SmallPain2"
	speak "wolfe.SmallPain3"
	speak "wolfe.SmallPain4"
	speak "wolfe.SmallPain5"
	speak "wolfe.SmallPain6"
	speak "wolfe.SmallPain7"
	speak "wolfe.SmallPain8"
	speak "wolfe.SmallPain9"
	speak "wolfe.SmallPain10"
	speak "wolfe.SmallPain11"
}

Rule wolfe_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_wolfe
    response wolfe_CHATTER_PAIN_SMALL
}

Response vegas_CHATTER_PAIN_SMALL
{
	speak "vegas.SmallPain0"
	speak "vegas.SmallPain1"
	speak "vegas.SmallPain2"
}

Rule vegas_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_vegas
    response vegas_CHATTER_PAIN_SMALL
}

Response sarge_CHATTER_PAIN_SMALL
{
	speak "sarge.SmallPain0"
	speak "sarge.SmallPain1"
	speak "sarge.SmallPain2"
	speak "sarge.SmallPain3"
}

Rule sarge_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_sarge
    response sarge_CHATTER_PAIN_SMALL
}

Response bastille_CHATTER_PAIN_SMALL
{
	speak "bastille.SmallPain0"
	speak "bastille.SmallPain1"
	speak "bastille.SmallPain2"
	speak "bastille.SmallPain3"
	speak "bastille.SmallPain4"
}

Rule bastille_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_bastille
    response bastille_CHATTER_PAIN_SMALL
}

Response wildcat_CHATTER_PAIN_SMALL
{
	speak "wildcat.SmallPain0"
	speak "wildcat.SmallPain1"
	speak "wildcat.SmallPain2"
}

Rule wildcat_CHATTER_PAIN_SMALL
{
    criteria ConceptCHATTER_PAIN_SMALL Is_wildcat
    response wildcat_CHATTER_PAIN_SMALL
}

Response vegas_CHATTER_TEQUILA_START
{
	speak "vegas.TequilaStart0"
	speak "vegas.TequilaStart1"
}

Rule vegas_CHATTER_TEQUILA_START
{
    criteria ConceptCHATTER_TEQUILA_START Is_vegas
    response vegas_CHATTER_TEQUILA_START
}

Response sarge_CHATTER_COMPLIMENTS_JAEGER
{
	speak "sarge.ComplimentsJaeger0"
	speak "sarge.ComplimentsJaeger1"
	speak "sarge.ComplimentsJaeger2"
}

Rule sarge_CHATTER_COMPLIMENTS_JAEGER
{
    criteria ConceptCHATTER_COMPLIMENTS_JAEGER Is_sarge
    response sarge_CHATTER_COMPLIMENTS_JAEGER
}

Response faith_CHATTER_SERIOUS_INJURY_FOLLOW_UP
{
	speak "faith.SeriousInjuryFollowUp0"
	speak "faith.SeriousInjuryFollowUp1"
}

Rule faith_CHATTER_SERIOUS_INJURY_FOLLOW_UP
{
    criteria ConceptCHATTER_SERIOUS_INJURY_FOLLOW_UP Is_faith
    response faith_CHATTER_SERIOUS_INJURY_FOLLOW_UP
}

Response bastille_CHATTER_SERIOUS_INJURY_FOLLOW_UP
{
	speak "bastille.SeriousInjuryFollowUp0"
	speak "bastille.SeriousInjuryFollowUp1"
}

Rule bastille_CHATTER_SERIOUS_INJURY_FOLLOW_UP
{
    criteria ConceptCHATTER_SERIOUS_INJURY_FOLLOW_UP Is_bastille
    response bastille_CHATTER_SERIOUS_INJURY_FOLLOW_UP
}

Response faith_CHATTER_MARINE_DOWN
{
	speak "faith.MarineDown0"
}

Rule faith_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_faith
    response faith_CHATTER_MARINE_DOWN
}

Response crash_CHATTER_MARINE_DOWN
{
	speak "crash.MarineDown0"
	speak "crash.MarineDown1"
}

Rule crash_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_crash
    response crash_CHATTER_MARINE_DOWN
}

Response jaeger_CHATTER_MARINE_DOWN
{
	speak "jaeger.MarineDown0"
}

Rule jaeger_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_jaeger
    response jaeger_CHATTER_MARINE_DOWN
}

Response wolfe_CHATTER_MARINE_DOWN
{
	speak "wolfe.MarineDown0"
	speak "wolfe.MarineDown1"
	speak "wolfe.MarineDown2"
}

Rule wolfe_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_wolfe
    response wolfe_CHATTER_MARINE_DOWN
}

Response vegas_CHATTER_MARINE_DOWN
{
	speak "vegas.MarineDown0"
	speak "vegas.MarineDown1"
}

Rule vegas_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_vegas
    response vegas_CHATTER_MARINE_DOWN
}

Response sarge_CHATTER_MARINE_DOWN
{
	speak "sarge.MarineDown0"
}

Rule sarge_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_sarge
    response sarge_CHATTER_MARINE_DOWN
}

Response bastille_CHATTER_MARINE_DOWN
{
	speak "bastille.MarineDown0"
}

Rule bastille_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_bastille
    response bastille_CHATTER_MARINE_DOWN
}

Response wildcat_CHATTER_MARINE_DOWN
{
	speak "wildcat.MarineDown0"
}

Rule wildcat_CHATTER_MARINE_DOWN
{
    criteria ConceptCHATTER_MARINE_DOWN Is_wildcat
    response wildcat_CHATTER_MARINE_DOWN
}

Response vegas_CHATTER_TEQUILA_REPLY_SARGE
{
	speak "vegas.TequilaReplySarge0"
}

Rule vegas_CHATTER_TEQUILA_REPLY_SARGE
{
    criteria ConceptCHATTER_TEQUILA_REPLY_SARGE Is_vegas
    response vegas_CHATTER_TEQUILA_REPLY_SARGE
}

Response crash_CHATTER_CRASH_IDLE
{
	speak "crash.CrashIdle0"
}

Rule crash_CHATTER_CRASH_IDLE
{
    criteria ConceptCHATTER_CRASH_IDLE Is_crash
    response crash_CHATTER_CRASH_IDLE
}

Response faith_CHATTER_EGGS
{
	speak "faith.SwarmEggs0"
	speak "faith.SwarmEggs1"
	speak "faith.SwarmEggs2"
}

Rule faith_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_faith
    response faith_CHATTER_EGGS
}

Response crash_CHATTER_EGGS
{
	speak "crash.SwarmEggs0"
	speak "crash.SwarmEggs1"
	speak "crash.SwarmEggs2"
}

Rule crash_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_crash
    response crash_CHATTER_EGGS
}

Response jaeger_CHATTER_EGGS
{
	speak "jaeger.SwarmEggs0"
	speak "jaeger.SwarmEggs1"
	speak "jaeger.SwarmEggs2"
}

Rule jaeger_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_jaeger
    response jaeger_CHATTER_EGGS
}

Response wolfe_CHATTER_EGGS
{
	speak "wolfe.SwarmEggs0"
	speak "wolfe.SwarmEggs1"
	speak "wolfe.SwarmEggs2"
}

Rule wolfe_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_wolfe
    response wolfe_CHATTER_EGGS
}

Response vegas_CHATTER_EGGS
{
	speak "vegas.SwarmEggs0"
	speak "vegas.SwarmEggs1"
	speak "vegas.SwarmEggs2"
}

Rule vegas_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_vegas
    response vegas_CHATTER_EGGS
}

Response sarge_CHATTER_EGGS
{
	speak "sarge.SwarmEggs0"
	speak "sarge.SwarmEggs1"
	speak "sarge.SwarmEggs2"
	speak "sarge.SwarmEggs3"
}

Rule sarge_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_sarge
    response sarge_CHATTER_EGGS
}

Response bastille_CHATTER_EGGS
{
	speak "bastille.SwarmEggs0"
	speak "bastille.SwarmEggs1"
	speak "bastille.SwarmEggs2"
}

Rule bastille_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_bastille
    response bastille_CHATTER_EGGS
}

Response wildcat_CHATTER_EGGS
{
	speak "wildcat.SwarmEggs0"
	speak "wildcat.SwarmEggs1"
	speak "wildcat.SwarmEggs2"
}

Rule wildcat_CHATTER_EGGS
{
    criteria ConceptCHATTER_EGGS Is_wildcat
    response wildcat_CHATTER_EGGS
}

Response faith_CHATTER_LOCKED_TERMINAL_CRASH
{
	speak "faith.LockedTerminalCrash0"
}

Rule faith_CHATTER_LOCKED_TERMINAL_CRASH
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_CRASH Is_faith
    response faith_CHATTER_LOCKED_TERMINAL_CRASH
}

Response jaeger_CHATTER_LOCKED_TERMINAL_CRASH
{
	speak "jaeger.LockedTerminalCrash0"
}

Rule jaeger_CHATTER_LOCKED_TERMINAL_CRASH
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_CRASH Is_jaeger
    response jaeger_CHATTER_LOCKED_TERMINAL_CRASH
}

Response bastille_CHATTER_LOCKED_TERMINAL_CRASH
{
	speak "bastille.LockedTerminalCrash0"
}

Rule bastille_CHATTER_LOCKED_TERMINAL_CRASH
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_CRASH Is_bastille
    response bastille_CHATTER_LOCKED_TERMINAL_CRASH
}

Response sarge_CHATTER_LOCKED_TERMINAL_CRASH
{
	speak "sarge.LockedTerminalCrash0"
	speak "sarge.LockedTerminalCrash1"
}

Rule sarge_CHATTER_LOCKED_TERMINAL_CRASH
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_CRASH Is_sarge
    response sarge_CHATTER_LOCKED_TERMINAL_CRASH
}

Response wildcat_CHATTER_LOCKED_TERMINAL_CRASH
{
	speak "wildcat.LockedTerminalCrash0"
}

Rule wildcat_CHATTER_LOCKED_TERMINAL_CRASH
{
    criteria ConceptCHATTER_LOCKED_TERMINAL_CRASH Is_wildcat
    response wildcat_CHATTER_LOCKED_TERMINAL_CRASH
}

Response faith_CHATTER_SELECTION_INJURED
{
	speak "faith.InjuredSelection0"
	speak "faith.InjuredSelection1"
	speak "faith.InjuredSelection2"
	speak "faith.InjuredSelection3"
}

Rule faith_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_faith
    response faith_CHATTER_SELECTION_INJURED
}

Response crash_CHATTER_SELECTION_INJURED
{
	speak "crash.InjuredSelection0"
	speak "crash.InjuredSelection1"
	speak "crash.InjuredSelection4"
}

Rule crash_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_crash
    response crash_CHATTER_SELECTION_INJURED
}

Response jaeger_CHATTER_SELECTION_INJURED
{
	speak "jaeger.InjuredSelection0"
	speak "jaeger.InjuredSelection1"
	speak "jaeger.InjuredSelection2"
}

Rule jaeger_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_jaeger
    response jaeger_CHATTER_SELECTION_INJURED
}

Response wolfe_CHATTER_SELECTION_INJURED
{
	speak "wolfe.InjuredSelection0"
	speak "wolfe.InjuredSelection1"
	speak "wolfe.InjuredSelection2"
	speak "wolfe.InjuredSelection3"
}

Rule wolfe_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_wolfe
    response wolfe_CHATTER_SELECTION_INJURED
}

Response vegas_CHATTER_SELECTION_INJURED
{
	speak "vegas.InjuredSelection0"
	speak "vegas.InjuredSelection1"
	speak "vegas.InjuredSelection2"
	speak "vegas.InjuredSelection3"
	speak "vegas.InjuredSelection4"
}

Rule vegas_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_vegas
    response vegas_CHATTER_SELECTION_INJURED
}

Response sarge_CHATTER_SELECTION_INJURED
{
	speak "sarge.InjuredSelection0"
	speak "sarge.InjuredSelection1"
	speak "sarge.InjuredSelection2"
	speak "sarge.InjuredSelection3"
}

Rule sarge_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_sarge
    response sarge_CHATTER_SELECTION_INJURED
}

Response bastille_CHATTER_SELECTION_INJURED
{
	speak "bastille.InjuredSelection0"
	speak "bastille.InjuredSelection1"
	speak "bastille.InjuredSelection2"
	speak "bastille.InjuredSelection3"
	speak "bastille.InjuredSelection4"
}

Rule bastille_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_bastille
    response bastille_CHATTER_SELECTION_INJURED
}

Response wildcat_CHATTER_SELECTION_INJURED
{
	speak "wildcat.InjuredSelection0"
	speak "wildcat.InjuredSelection1"
	speak "wildcat.InjuredSelection2"
}

Rule wildcat_CHATTER_SELECTION_INJURED
{
    criteria ConceptCHATTER_SELECTION_INJURED Is_wildcat
    response wildcat_CHATTER_SELECTION_INJURED
}

Response faith_CHATTER_JAEGER
{
	speak "faith.CallJaeger0"
	speak "faith.CallJaeger1"
}

Rule faith_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_faith
    response faith_CHATTER_JAEGER
}

Response crash_CHATTER_JAEGER
{
	speak "crash.CallJaeger0"
	speak "crash.CallJaeger1"
	speak "crash.CallJaeger2"
}

Rule crash_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_crash
    response crash_CHATTER_JAEGER
}

Response wolfe_CHATTER_JAEGER
{
	speak "wolfe.CallJaeger0"
	speak "wolfe.CallJaeger1"
	speak "wolfe.CallJaeger2"
}

Rule wolfe_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_wolfe
    response wolfe_CHATTER_JAEGER
}

Response vegas_CHATTER_JAEGER
{
	speak "vegas.CallJaeger0"
	speak "vegas.CallJaeger1"
}

Rule vegas_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_vegas
    response vegas_CHATTER_JAEGER
}

Response sarge_CHATTER_JAEGER
{
	speak "sarge.CallJaeger0"
	speak "sarge.CallJaeger1"
}

Rule sarge_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_sarge
    response sarge_CHATTER_JAEGER
}

Response bastille_CHATTER_JAEGER
{
	speak "bastille.CallJaeger0"
	speak "bastille.CallJaeger1"
	speak "bastille.CallJaeger2"
}

Rule bastille_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_bastille
    response bastille_CHATTER_JAEGER
}

Response wildcat_CHATTER_JAEGER
{
	speak "wildcat.CallJaeger0"
	speak "wildcat.CallJaeger1"
}

Rule wildcat_CHATTER_JAEGER
{
    criteria ConceptCHATTER_JAEGER Is_wildcat
    response wildcat_CHATTER_JAEGER
}

Response faith_CHATTER_ON_FIRE
{
	speak "faith.OnFire0"
	speak "faith.OnFire1"
}

Rule faith_CHATTER_ON_FIRE
{
    criteria ConceptCHATTER_ON_FIRE Is_faith
    response faith_CHATTER_ON_FIRE
}

Response crash_CHATTER_ON_FIRE
{
	speak "crash.OnFire0"
}

